server id;request type;request time;read request;response time
2100;searchProduct;68901.643872;68901.643872;68902.343872
2100;searchProduct;68902.819413;68902.819413;68903.619413
2000;takeInChargeShipping;69154.474149;69154.474149;69154.874149
2100;searchProduct;69445.444514;69445.444514;69446.144514
2100;addToCart;69698.988074;69698.988074;69699.388074
2100;addToCart;69794.723418;69794.723418;69795.123418
2100;addToCart;69796.359990;69796.359990;69796.759990
2100;createOrder;69830.760037;69830.760037;69831.260037
2100;searchProduct;69838.165082;69838.165082;69838.865082
2100;viewOrder;69851.880820;69851.880820;69852.280820
2000;changeStatusDelivery;69922.746878;69922.746878;69923.146878
2100;searchProduct;70959.919969;70959.919969;70960.619969
2100;searchProduct;71218.210746;71218.210746;71218.910746
2100;searchProduct;71689.757792;71689.757792;71690.457792
2100;searchProduct;72002.438924;72002.438924;72003.138924
2100;searchProduct;72132.949550;72132.949550;72133.649550
2100;searchProduct;72320.593496;72320.593496;72321.293496
2100;addToCart;72576.076020;72576.076020;72576.476020
2100;searchProduct;73110.463381;73110.463381;73111.163381
2100;searchProduct;73153.878695;73153.878695;73154.578695
2100;addToCart;73244.617461;73244.617461;73245.017461
2100;searchProduct;73656.143387;73656.143387;73656.843387
2100;searchProduct;73930.612848;73930.612848;73931.312848
2100;addToCart;74015.436208;74015.436208;74015.836208
2100;searchProduct;74034.827612;74034.827612;74035.527612
2100;addToCart;74271.833557;74271.833557;74272.233557
2100;searchProduct;74429.724283;74429.724283;74430.424283
2100;searchProduct;74498.133359;74498.133359;74498.833359
2100;addToCart;74522.103079;74522.103079;74522.503079
2100;addToCart;74591.424036;74591.424036;74591.824036
2100;createOrder;74685.943886;74685.943886;74686.443886
2100;viewOrder;74697.909234;74697.909234;74698.309234
2000;changeStatusDelivery;74865.807593;74865.807593;74866.207593
2100;searchProduct;74925.212657;74925.212657;74925.912657
2100;searchProduct;75005.957187;75005.957187;75006.657187
2100;searchProduct;75041.218890;75041.218890;75041.918890
2100;searchProduct;75154.487779;75154.487779;75155.187779
2100;searchProduct;75321.966027;75321.966027;75322.666027
2100;searchProduct;75400.745362;75400.745362;75401.445362
2100;addToCart;75415.313306;75415.313306;75415.713306
2100;searchProduct;75460.967273;75460.967273;75461.667273
